5	5	7	2	200	10	
6	6	7	3	200	10	
7	7	7	4	200	10	
8	8	7	2	200	10	
9	9	5	2	150	0	
10	9	7	2	200	10	
11	10	9	1	150	30	
12	10	8	1	150	0	
13	10	5	1	150	0	
14	10	7	1	200	10	
15	11	9	2	150	30	
16	11	8	2	150	0	
17	11	10	2	165	15	
18	11	7	1	200	10	
19	12	5	1	150	0	
20	12	7	1	200	10	
21	13	7	1	200	10	
22	13	5	1	150	0	
23	14	5	1	150	0	
24	14	7	1	200	10	
25	15	9	1	150	30	
26	15	8	1	150	0	
27	15	10	1	165	15	
28	15	7	1	200	10	
29	16	5	2	150	0	
30	16	7	2	200	10	
31	17	9	1	150	30	
32	17	10	1	165	15	
33	17	8	1	150	0	
34	18	9	1	150	30	
35	18	10	1	165	15	
36	19	7	0	200	10	
37	20	8	1	150	0	
38	20	10	1	165	15	
39	20	5	1	150	0	
40	21	5	0	150	0	
41	21	7	0	200	10	
42	22	5	1	150	0	
43	22	11	1	240	40	
44	22	7	1	200	10	
45	23	5	3	150	0	
46	24	5	3	150	0	
47	25	9	1	150	30	
48	26	9	1	150	30	
49	26	8	1	150	0	
50	26	10	1	165	15	
51	26	5	1	150	0	
52	26	7	1	200	10	
53	27	7	7	200	10	
54	28	9	1	150	30	
55	28	8	1	150	0	
56	28	11	1	240	40	
57	28	5	1	150	0	
58	29	9	1	150	30	
59	29	5	1	150	0	
60	29	11	1	240	40	
61	29	7	1	200	10	
62	30	11	1	240	40	
63	30	7	1	200	10	
64	31	5	1	150	0	
65	31	7	2	200	10	
66	32	5	2	150	0	
67	32	7	2	200	10	
68	33	9	1	150	30	
69	33	8	1	150	0	
70	34	13	2	240	40	
71	35	5	1	150	0	
72	35	14	1	250	0	
73	36	8	1	150	0	
74	37	9	1	150	30	
75	37	13	1	240	40	
76	38	13	1	240	40	
77	39	9	2	150	30	
78	39	11	1	240	40	
79	39	7	2	200	10	
80	39	8	1	150	0	
81	40	13	1	240	40	
82	40	9	1	150	30	
83	40	7	1	200	10	
84	41	9	1	150	30	
85	41	12	1	200	20	
86	41	11	1	240	40	
87	42	13	1	240	40	
88	42	12	1	200	20	
89	42	5	1	150	0	
90	43	8	2	150	0	
91	44	12	2	200	20	
92	45	8	2	150	0	
93	46	5	0	150	0	
94	47	5	0	150	0	
95	48	13	1	240	40	
96	48	8	1	150	0	
97	49	9	1	150	30	
98	49	5	1	150	0	
99	50	13	1	240	40	
100	50	9	1	150	30	
101	50	10	1	165	15	
102	51	9	1	150	30	
103	51	13	2	240	40	
104	52	13	1	240	40	
105	53	13	1	240	40	
106	53	8	1	150	0	
107	54	12	0	200	20	
108	55	11	1	240	40	
109	56	11	1	240	40	
110	57	11	1	240	40	
111	58	11	2	240	40	
112	59	15	1	150	0	
113	60	15	2	150	0	
114	61	15	2	150	0	
115	62	9	1	150	30	
116	62	13	1	240	40	
117	62	10	1	165	15	
118	62	12	1	200	20	
119	63	9	2	150	30	
120	63	5	1	150	0	
121	64	11	1	150	0	
122	65	11	1	150	0	
123	66	9	1	150	30	
124	66	5	1	150	0	
125	66	10	1	165	15	
126	67	11	1	150	0	
127	67	5	1	150	0	
128	68	15	1	150	0	
129	68	12	1	200	20	
130	68	11	1	150	0	
131	69	11	1	150	0	
132	70	13	1	240	40	
133	70	9	1	150	30	
134	70	12	1	200	20	
135	70	14	1	250	0	
136	70	5	1	150	0	
137	70	7	1	200	10	
138	71	9	1	150	30	
139	71	13	1	240	40	
140	71	12	1	200	20	
141	71	14	1	250	0	
142	71	5	1	150	0	
143	71	7	1	200	10	
144	72	7	1	240	40	
145	72	5	1	200	20	
146	72	10	1	150	0	
147	73	7	1	240	40	
148	73	9	1	250	0	
149	73	13	1	150	0	
150	74	11	1	150	0	
151	74	5	1	200	20	
152	75	9	1	250	0	
153	75	10	1	150	0	
154	75	5	1	200	20	
155	76	8	1	150	0	
156	76	14	1	250	0	
157	77	14	1	250	0	
158	78	12	1	200	20	
159	78	10	1	165	15	
160	79	9	1	120	0	
161	79	8	1	150	0	
162	79	13	1	240	40	
163	80	8	1	150	0	
164	80	10	1	165	15	
165	81	9	1	120	0	
166	81	11	1	200	0	
167	82	11	8	200	0	
168	83	10	1	165	15	
169	83	12	1	200	20	
170	83	7	1	200	20	
171	83	5	1	150	0	
172	84	9	1	120	0	
173	84	8	1	150	0	
174	84	11	1	200	0	
175	85	9	1	120	0	
176	85	10	1	165	15	
177	86	9	1	120	0	
178	86	10	1	165	15	
179	87	11	0	200	0	
180	88	8	1	150	0	
181	88	12	1	200	20	
182	88	10	1	165	15	
183	88	11	1	200	0	
184	89	11	0	200	0	
185	90	11	0	200	0	
186	91	16	1	120	10	
187	91	14	1	250	0	
