1	21	3
2	21	3
3	21	3
4	21	3
5	21	3
6	21	3
7	21	3
8	21	3
9	21	3
10	21	3
11	21	3
12	21	3
13	21	3
14	21	3
15	27	3
16	21	3
17	28	3
18	30	3
19	32	6
20	31	3
21	24	6
22	28	3
23	21	3
24	21	3
25	54	3
26	56	3
27	32	6
28	27	3
29	59	3
30	33	3
31	21	3
32	21	6
33	64	6
34	65	5
35	58	3
36	55	3
37	65	3
38	55	3
39	55	3
40	66	3
41	29	3
42	33	3
43	33	5
44	21	5
45	33	5
46	21	6
47	21	6
48	55	3
49	60	3
50	66	3
51	55	3
52	77	3
53	63	3
54	21	6
55	33	3
56	33	3
57	33	3
58	33	3
59	33	3
60	21	3
61	21	3
62	79	3
63	56	3
64	80	3
65	80	3
66	81	3
67	82	3
68	83	3
69	84	3
70	32	3
71	32	3
72	89	3
73	90	3
74	57	3
75	91	3
76	92	3
77	93	3
78	63	3
79	33	3
80	33	3
81	58	3
82	32	4
83	95	3
84	64	3
85	96	3
86	79	3
87	32	6
88	99	3
89	32	6
90	32	6
91	84	3
92	100	3
93	101	3
94	32	3
95	102	3
96	77	3
97	33	6
98	28	3
99	21	5
100	32	6
101	21	5
102	21	3
103	31	5
104	27	3
105	55	6
106	31	6
107	55	3
108	84	3
109	55	3
110	103	3
111	104	3
112	21	3
113	106	3
114	97	3
115	107	3
116	109	3
117	108	5
118	110	3
119	97	3
120	84	3
121	114	3
122	31	3
123	21	3
124	21	3
125	56	3
126	27	3
127	116	3
128	32	6
129	32	3
130	118	3
131	117	5
132	56	3
133	120	3
134	56	3
135	122	3
136	123	3
137	124	3
138	60	3
139	30	3
140	77	3
141	33	3
142	82	3
143	59	3
144	130	3
145	64	3
146	63	3
147	23	3
148	131	3
149	30	3
150	132	3
151	32	3
152	133	3
153	32	6
154	118	3
155	63	3
156	135	3
157	90	3
158	32	5
159	33	6
160	136	5
161	136	6
162	32	6
163	33	5
164	136	6
165	33	6
166	32	6
167	63	6
168	136	6
169	32	6
170	33	5
171	32	6
172	33	6
173	21	5
174	21	5
175	113	5
176	32	6
177	137	5
178	32	6
179	32	6
180	32	6
181	32	5
182	113	6
183	21	5
184	115	5
185	115	5
186	115	5
187	115	5
188	139	5
189	139	5
190	32	6
191	27	3
192	33	3
193	55	3
194	127	3
195	140	5
196	60	3
197	140	3
198	141	3
199	142	3
200	140	3
201	141	6
202	143	6
203	143	5
204	143	5
205	143	5
206	32	6
207	32	6
208	144	8
209	32	6
210	32	6
211	32	6
212	32	5
213	32	5
214	32	5
215	32	6
216	32	5
217	32	5
218	32	6
219	32	6
220	32	6
221	2247	3
222	152	3
223	155	3
224	154	5
225	154	5
226	2247	3
227	92	6
228	159	3
229	162	3
230	65	3
231	163	3
232	85	3
233	85	6
234	170	5
235	172	5
236	174	3
237	170	3
238	2247	3
239	176	3
240	179	3
241	57	3
242	80	3
243	188	3
244	190	3
245	126	3
246	191	3
247	191	6
248	98	3
249	98	6
250	33	5
251	152	3
252	99	3
253	56	3
254	210	3
255	212	3
256	126	3
257	213	3
258	53	3
259	110	3
260	110	3
261	221	3
262	218	3
263	77	3
264	223	3
265	225	3
266	224	3
267	224	6
268	96	3
269	93	3
270	93	3
271	203	5
272	55	3
273	92	3
274	64	3
275	33	3
276	235	3
277	238	3
278	31	3
279	239	3
280	32	6
281	240	3
282	242	3
283	33	3
284	244	3
285	92	3
286	243	3
287	21	3
288	2247	3
289	245	3
290	32	6
291	31	3
292	247	3
293	58	3
294	248	3
295	31	3
296	82	3
297	82	6
298	250	3
299	252	3
300	28	3
301	28	5
302	253	3
303	122	3
304	203	5
305	253	6
306	253	3
307	2247	3
308	267	3
309	245	3
310	268	3
311	269	3
312	92	3
313	30	3
314	274	3
315	130	3
316	239	3
317	32	3
318	87	3
319	152	3
320	152	3
321	2247	3
322	282	3
323	179	6
324	55	3
325	179	3
326	99	3
327	99	3
328	55	3
329	297	3
330	32	6
331	32	5
332	32	5
333	32	5
334	32	5
335	235	3
336	21	5
337	32	5
